raw_value,normalized_value
payment,payment
Payment,payment
PAYMENT,payment
pago,payment
Pago,payment
withdrawal,withdrawal
Withdrawal,withdrawal
WITHDRAWAL,withdrawal
retiro,withdrawal
Retiro,withdrawal
deposit,deposit
Deposit,deposit
DEPOSIT,deposit
deposito,deposit
Deposito,deposit
transfer,transfer
Transfer,transfer
TRANSFER,transfer
transferencia,transfer
fee,fee
Fee,fee
FEE,fee
comision,fee
Comision,fee
refund,refund
Refund,refund
REFUND,refund
reembolso,refund
