raw_value,normalized_value
EDUCATION,Education
auto,Auto
business,Business
personal,Personal
education,Education
mortgage,Mortgage
BUSINESS,Business
AUTO,Auto
PERSONAL,Personal
MORTGAGE,Mortgage
